first_name	surname	cristin_person_id	name	n
Abbigail Marie	Fleckenstein	1553299	Abbigail Marie Fleckenstein	1
Agnes Karine	Andenæs	11747	Agnes Karine Andenæs	2
Agnete	Dyresen	1539062	Agnete Dyresen	3
Aili Røtterud	Løchen	1021884	Aili Røtterud Løchen	4
Aino Lilja	Petterson	1408384	Aino Lilja Petterson	5
Alejandro Omar	Blenkmann	744585	Alejandro Omar Blenkmann	6
Aleksander Bjørge	Gundersen	1021912	Aleksander Bjørge Gundersen	7
Alexandra	Havdahl	448006	Alexandra Havdahl	8
Ali	Teymoori	1475464	Ali Teymoori	9
Alina Marie	Sartorius	1331931	Alina Marie Sartorius	10
Alina Marie	Sartorius	1318676	Alina Marie Sartorius	11
Anders Flækøy	Landmark	846440	Anders Flækøy Landmark	12
Anders Martin	Fjell	23265	Anders Martin Fjell	13
Andrea	Constantinou	1504804	Andrea Constantinou	14
Andrea Elisabeth Klokkerhaug	Rowe	1641214	Andrea Elisabeth Klokkerhaug Rowe	15
Andreas	Dahl	1244092	Andreas Dahl	16
Andreas	Løve	1662435	Andreas Løve	17
Andreas	Voldstad	1034768	Andreas Voldstad	18
Andreas Teisner	Høstmælingen	875220	Andreas Teisner Høstmælingen	19
Ane-Kristine Øien	Dyrvik	1415822	Ane-Kristine Øien Dyrvik	20
Anette Arnesen	Grønlie	3902	Anette Arnesen Grønlie	21
Anette Karin	Åbom	1448432	Anette Karin Åbom	22
Anine Cecilie	Riege	60870	Anine Cecilie Riege	23
Anita	Moe	9519	Anita Moe	24
Ann-Cathrin	Coenen	1329285	Ann-Cathrin Coenen	25
Anna	Ivanova	1198491	Anna Ivanova	26
Anna Elfrida Hovde	Vollsund	997863	Anna Elfrida Hovde Vollsund	27
Anna Louise von der	Lippe	1354	Anna Louise von der Lippe	28
Anna Sophia	Engel	1504858	Anna Sophia Engel	29
Anna Sophia	Engel	1623193	Anna Sophia Engel	30
Anne	Ravndal	1360711	Anne Ravndal	31
Anne Caroline	Seierstad	1504431	Anne Caroline Seierstad	32
Anne Cecilie	Skule	20178	Anne Cecilie Skule	33
Anne Cecilie Sjøli	Bråthen	530728	Anne Cecilie Sjøli Bråthen	34
Anne Inger Helmen	Borge	22836	Anne Inger Helmen Borge	35
Anne Kari	Torgalsbøen	6416	Anne Kari Torgalsbøen	36
Anne Mari	Torgersen	22552	Anne Mari Torgersen	37
Anne Marie	Halberg	7937	Anne Marie Halberg	38
Anne-Charlotte	Lilljeqvist	19961	Anne-Charlotte Lilljeqvist	39
Anne-Kristin	Solbakk	23509	Anne-Kristin Solbakk	40
Anne-Kristine	Schanke	3973	Anne-Kristine Schanke	41
Annette Holth	Skogan	2969	Annette Holth Skogan	42
Annika Maria Désirée	Melinder	23629	Annika Maria Désirée Melinder	43
